lng,lat,方向,长度
121.9,40.1,218.1,11.1
121.9,40.1,216,22.3
121.9,40.1,204,43.9
121.9,40.1,204.3,42.2
121.9,40.1,222.6,30.9
121.9,40.1,224.1,21.2
121.9,40.1,314,2.1
121.9,40.1,66.2,6.6
121.9,40.1,40,25.1
121.9,40.1,34.9,29.4
121.9,40.1,43.9,25.5
121.9,40.1,54.5,17.2
121.9,40.1,19.4,4.6
121.9,40.1,214.8,21.5
121.9,40.1,215.9,34.2
121.9,40.1,209.1,34.6
121.9,40.1,223.4,27.4
121.9,40.1,250.1,14.9
121.9,40.1,98.8,1.2
121.9,40.1,35.1,16.3
121.9,40.1,47.7,27.5
121.9,40.1,40.6,31
121.9,40.1,47.4,28.8
121.9,40.1,45.9,19.8
121.9,40.1,110.3,13.8
121.8,40.15,195.6,18.6
121.8,40.15,229.2,25.6
121.8,40.15,230.6,53.4
121.8,40.15,235,59.8
121.8,40.15,238.2,57.2
121.8,40.15,244.8,45.1
121.8,40.15,257.5,28
121.8,40.15,299.9,6.8
121.8,40.15,51.4,19.9
121.8,40.15,55.4,38.8
121.8,40.15,59.8,46.9
121.8,40.15,56,34.3
121.8,40.15,72.8,15.4
121.8,40.15,234.8,3.5
121.8,40.15,233.3,35.3
121.8,40.15,240.5,45.5
121.8,40.15,240.4,44.2
121.8,40.15,241.6,35
121.8,40.15,263.2,19.6
121.8,40.15,64.5,12.2
121.8,40.15,57.4,45.5
121.8,40.15,62.7,54.3
121.8,40.15,68.3,51.9
121.8,40.15,68.4,32.7
121.8,40.15,31.2,15.7
